Port,Default,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,ADC
PORTA,PA0,,UART0_RX,,,,,,,CAN1_RX,,,,
PORTA,PA1,,UART0_TX,,,,,,,CAN1_TX,,,,
PORTA,PA2,,,SSI0_CLK,,,,,,,,,,
PORTA,PA3,,,SSI0_FSS,,,,,,,,,,
PORTA,PA4,,,SSI0_RX,,,,,,,,,,
PORTA,PA5,,,SSI0_TX,,,,,,,,,,
PORTA,PA6,,,,I2C1_SCL,,M1_PWM2,,,,,,,
PORTA,PA7,,,,I2C1_SDA,,M1_PWM3,,,,,,,
PORTB,PB0,,UART1_RX,,,,,,T2_CCP0,,,,,USB0_ID
PORTB,PB1,,UART1_TX,,,,,,T2_CCP1,,,,,USB0_VBUS
PORTB,PB2,,,,I2C0_SCL,,,,T3_CCP0,,,,,
PORTB,PB3,,,,I2C0_SDA,,,,T3_CCP1,,,,,
PORTB,PB4,,,SSI2_CLK,,M0_PWM2,,,T1_CCP0,CAN0_RX,,,,ADC0_CH10
PORTB,PB5,,,SSI2_FSS,,M0_PWM3,,,T1_CCP1,CAN0_TX,,,,ADC0_CH11
PORTC,PC0,JTCK/SWCLK,,,,,,,T4_CCP0,,,,,
PORTC,PC1,TMS/SWDIO,,,,,,,T4_CCP1,,,,,
PORTC,PC2,TDI,,,,,,,T5_CCP0,,,,,
PORTC,PC3,TDO/SWO,,,,,,,T5_CCP1,,,,,
PORTC,PC4,,UART4_RX,UART1_RX,,M0_PWM6,,IDX1,WT0_CCP0,UART1_RTS,,,,C1_N
PORTC,PC5,,UART4_TX,UART1_TX,,M0_PWM7,,PHA1,WT0_CCP1,UART1_CTS,,,,C1_P
PORTC,PC6,,UART3_RX,,,,,PHB1,WT1_CCP0,USB0_EPEN,,,,C0_P
PORTC,PC7,,UART3_TX,,,,,,WT1_CCP1,USB0_PFLT,,,,C0_N
PORTD,PD0,,SSI3_CLK,SSI1_CLK,I2C3_SCL,M0_PWM6,M1_PWM6,,WT2_CCP0,,,,,ADC0_CH15
PORTD,PD1,,SSI3_FSS,SSI1_FSS,I2C3_SDA,M0_PWM7,M1_PWM7,,WT2_CCP1,,,,,ADC0_CH14
PORTD,PD2,,SSI3_RX,SSI1_RX,,M0_FAULT0,,,WT3_CCP0,USB0_EPEN,,,,ADC0_CH13
PORTD,PD3,,SSI3_TX,SSI1_TX,,,,IDX0,WT3_CCP1,USB0_PFLT,,,,ADC0_CH12
PORTD,PD4,,UART6_RX,,,,,,WT4_CCP0,,,,,ADC0_CH7
PORTD,PD5,,UART6_TX,,,,,,WT4_CCP1,,,,,ADC0_CH6
PORTD,PD6,,UART2_RX,,,M0_FAULT0,,PHA0,WT5_CCP0,,,,,ADC0_CH5
PORTD,PD7,,UART2_TX,,,M0_FAULT1,,PHB0,WT5_CCP1,NMI,,,,ADC0_CH4
PORTE,PE0,,UART7_RX,,,,,,,,,,,ADC0_CH3
PORTE,PE1,,UART7_TX,,,,,,,,,,,ADC0_CH2
PORTE,PE2,,,,,,,,,,,,,ADC0_CH1
PORTE,PE3,,,,,,,,,,,,,ADC0_CH0
PORTE,PE4,,UART5_RX,,I2C2_SCL,M0_PWM4,M1_PWM2,,,CAN0_RX,,,,ADC0_CH9
PORTE,PE5,,UART5_TX,,I2C2_SDA,M0_PWM5,M1_PWM3,,,CAN0_TX,,,,ADC0_CH8
PORTE,PE6,,,,,,,,,CAN1_RX,,,,ADC0_CH21
PORTE,PE7,,UART1_RI,,,,,,,CAN1_TX,,,,ADC0_CH20
PORTF,PF0,,UART1_RTS,SSI1_RX,CAN0_RX,,M1_PWM4,PHA0,T0_CCP0,NMI,C0_O,TRD2,,
PORTF,PF1,,UART1_CTS,SSI1_TX,,,M1_PWM5,PHB0,T0_CCP1,,C1_O,TRD1,,
PORTF,PF2,,UART1_DCD,SSI1_CLK,,M0_FAULT0,M1_PWM6,,T1_CCP0,,C2_O,TRD0,,
PORTF,PF3,,UART1_DSR,SSI1_FSS,CAN0_TX,M0_FAULT1,M1_PWM7,,T1_CCP1,,,TRCLK,,
PORTF,PF4,,UART1_DTR,,,M0_FAULT2,M1_FAULT0,IDX0,T2_CCP0,USB0_EPEN,,TRD3,,
PORTF,PF5,,,,,M0_FAULT3,,,T2_CCP1,USB0_PFLT,,,,
PORTF,PF6,,,,I2C2_SCL,,,,T3_CCP0,,,,,
PORTF,PF7,,,,I2C2_SDA,,M1_FAULT0,,T3_CCP1,,,,,
PORTG,PG0,,,,I2C3_SCL,,M1_FAULT1,PHA1,T4_CCP0,,,,LPC0PD_N,
PORTG,PG1,,,,I2C3_SDA,,M1_FAULT2,PHB1,T4_CCP1,,,,LPC0SCI_N,
PORTG,PG2,,,,I2C4_SCL,M0_FAULT1,M1_PWM0,,T5_CCP0,,,,LPC0CLKRUN_N,
PORTG,PG3,,,,I2C4_SDA,M0_FAULT2,M1_PWM1,PHA1,T5_CCP1,,,,,
PORTG,PG4,,UART2_RX,,I2C1_SCL,M0_PWM4,M1_PWM2,PHB1,WT0_CCP0,USB0_EPEN,,,,
PORTG,PG5,,UART2_TX,,I2C1_SDA,M0_PWM5,M1_PWM3,IDX1,WT0_CCP1,USB0_PFLT,,,,
PORTG,PG6,,,,I2C2_SCL,M0_PWM6,,,WT1_CCP0,,,,,C2_P
PORTG,PG7,,,,I2C2_SDA,M0_PWM7,IDX1,,WT1_CCP1,,,,,C2_N
PORTH,PH0,,,SSI3_CLK,,M0_PWM0,,M0_FAULT0,WT2_CCP0,,,,,ADC0_CH16
PORTH,PH1,,,SSI3_FSS,,M0_PWM1,IDX0,M0_FAULT1,WT2_CCP1,,,,,ADC0_CH17
PORTH,PH2,,,SSI3_RX,,M0_PWM2,,M0_FAULT2,WT5_CCP0,,,,,ADC0_CH18
PORTH,PH3,,,SSI3_TX,,M0_PWM3,,M0_FAULT3,WT5_CCP1,,,,,ADC0_CH19
PORTH,PH4,,,SSI2_CLK,,M0_PWM4,PHA0,,WT3_CCP0,,,,,
PORTH,PH5,,,SSI2_FSS,,M0_PWM5,PHB0,,WT3_CCP1,,,,,
PORTH,PH6,,,SSI2_RX,,M0_PWM6,,,WT4_CCP0,,,,,
PORTH,PH7,,,SSI2_TX,,M0_PWM7,,,WT4_CCP1,,,,,
PORTJ,PJ0,,UART4_RX,,,,,,T1_CCP0,,,,,USB0_DM
PORTJ,PJ1,,UART4_TX,,,,,,T1_CCP1,,,,,USB0_DP
PORTJ,PJ2,,UART5_RX,,,,IDX0,,T2_CCP0,,,,,
PORTK,PK0,,,SSI3_CLK,,,,M1_FAULT0,,,,,,
PORTK,PK1,,,SSI3_FSS,,,,M1_FAULT1,,,,,,
PORTK,PK2,,,SSI3_RX,,,,M1_FAULT2,,,,,,
PORTK,PK3,,,SSI3_TX,,,,M1_FAULT3,,,,,,
